"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Phylloscopus chloronotus","Phylloscopus chloronotus (J.E.Gray & G.R.Gray, 1847)",49,49,0,2020,2025
"Alectoris chukar",NA,48,0,48,2010,2025
"Upupa epops","Upupa epops Linnaeus, 1758",48,48,0,2019,2024
"Myophonus caeruleus",NA,46,0,46,2011,2025
"Parus cinereus",NA,45,0,45,2012,2025
"Emberiza stewarti","Emberiza stewarti (Blyth, 1854)",43,43,0,2020,2024
"Streptopelia orientalis","Streptopelia orientalis (Latham, 1790)",43,43,0,2020,2024
"Anas platyrhynchos",NA,42,0,42,2010,2025
"Urocissa flavirostris",NA,42,0,42,2016,2025
"Aegithalos concinnus","Aegithalos concinnus (Gould, 1855)",41,41,0,2019,2025
"Ardeola grayii",NA,41,0,41,2010,2025
"Carpodacus erythrinus",NA,41,0,41,2011,2025
"Phoenicurus ochruros","Phoenicurus ochruros (S.G.Gmelin, 1774)",41,41,0,2019,2025
"Psittacula himalayana","Psittacula himalayana (Lesson, 1831)",40,40,0,2019,2024
"Tarsiger rufilatus","Tarsiger rufilatus (Hodgson, 1845)",40,40,0,2020,2025
"Trochalopteron lineatum",NA,40,0,40,2017,2025
"Alcedo atthis",NA,39,0,39,1981,2025
"Columba livia",NA,38,0,38,2013,2025
"Falco tinnunculus","Falco tinnunculus Linnaeus, 1758",38,38,0,2018,2024
"Phoenicurus fuliginosus",NA,38,0,38,2011,2025
"Pica pica","Pica pica (Linnaeus, 1758)",38,38,0,2018,2025
"Motacilla citreola",NA,37,0,37,2015,2025
"Mycerobas icterioides","Mycerobas icterioides (Vigors, 1830)",37,37,0,2019,2024
"Leucosticte nemoricola","Leucosticte nemoricola (Hodgson, 1836)",36,36,0,2019,2025
"Saxicola caprata","Saxicola caprata (Linnaeus, 1766)",36,36,0,2019,2024
"Apus apus","Apus apus (Linnaeus, 1758)",35,35,0,2020,2024
"Lonchura punctulata","Lonchura punctulata (Linnaeus, 1758)",35,35,0,2019,2024
"Motacilla citreola","Motacilla citreola Pallas, 1776",35,35,0,2019,2024
"Dendrocoptes auriceps","Dendrocoptes auriceps (Vigors, 1831)",34,34,0,2019,2024
"Lanius schach",NA,34,0,34,2016,2024
"Turdus unicolor","Turdus unicolor Tickell, 1833",34,34,0,2021,2024
"Upupa epops",NA,34,0,34,2010,2025
"Emberiza cia",NA,33,0,33,2011,2025
"Monticola solitarius","Monticola solitarius (Linnaeus, 1758)",33,33,0,2018,2024
"Sitta cashmirensis","Sitta cashmirensis W.E.Brooks, 1871",33,33,0,2019,2024
"Accipiter nisus","Accipiter nisus (Linnaeus, 1758)",30,30,0,2019,2024
"Egretta garzetta",NA,30,0,30,2010,2025
"Monticola cinclorhynchus","Monticola cinclorhynchus (Vigors, 1832)",30,30,0,2019,2024
"Muscicapa sibirica","Muscicapa sibirica Gmelin, 1789",30,30,0,2019,2024
"Oriolus kundoo","Oriolus kundoo Sykes, 1832",30,30,0,2019,2024
"Phoenicurus coeruleocephala","Phoenicurus coeruleocephala (Vigors, 1831)",30,30,0,2020,2025
"Picus squamatus","Picus squamatus Vigors, 1831",30,30,0,2019,2025
"Corvus splendens",NA,29,0,29,2005,2025
"Turdus rubrocanus","Turdus rubrocanus J.E.Gray & G.R.Gray, 1847",29,29,0,2020,2025
"Phoenicurus leucocephalus",NA,28,0,28,2011,2025
"Coloeus monedula",NA,27,0,27,2012,2025
"Ficedula superciliaris","Ficedula superciliaris (Jerdon, 1840)",27,27,0,2019,2024
"Motacilla cinerea",NA,27,0,27,2012,2025
"Phylloscopus trochiloides","Phylloscopus trochiloides (Sundevall, 1837)",27,27,0,2019,2024
"Prunella strophiata","Prunella strophiata (Blyth, 1843)",27,27,0,2021,2025
"Tachymarptis melba","Tachymarptis melba (Linnaeus, 1758)",27,27,0,2021,2024
"Carduelis caniceps",NA,26,0,26,2017,2025
"Ficedula tricolor","Ficedula tricolor (Hodgson, 1845)",26,26,0,2019,2024
"Francolinus francolinus","Francolinus francolinus (Linnaeus, 1766)",26,26,0,2020,2024
"Oenanthe fusca","Oenanthe fusca (Blyth, 1851)",26,26,0,2020,2024
"Pandion haliaetus","Pandion haliaetus (Linnaeus, 1758)",26,26,0,2019,2021
"Regulus regulus","Regulus regulus (Linnaeus, 1758)",26,26,0,2021,2025
"Carpodacus rodochroa","Carpodacus rodochroa (Vigors, 1831)",25,25,0,2021,2025
"Corvus macrorhynchos",NA,25,0,25,1984,2025
"Hodgsonius phoenicuroides","Luscinia phaenicuroides (J.E.Gray & G.R.Gray, 1847)",25,25,0,2020,2024
"Pyrrhocorax graculus","Pyrrhocorax graculus (Linnaeus, 1766)",25,25,0,2018,2024
"Pyrrhula aurantiaca","Pyrrhula aurantiaca Gould, 1858",25,25,0,2019,2024
"Serinus pusillus","Serinus pusillus (Pallas, 1811)",25,25,0,2018,2024
"Tachybaptus ruficollis",NA,25,0,25,2010,2025
"Cinnyris asiaticus","Cinnyris asiaticus (Latham, 1790)",24,24,0,2020,2024
"Passer cinnamomeus",NA,24,0,24,2012,2025
"Actitis hypoleucos","Actitis hypoleucos (Linnaeus, 1758)",23,23,0,2020,2024
"Culicicapa ceylonensis","Culicicapa ceylonensis (Swainson, 1820)",23,23,0,2020,2024
"Gyps himalayensis","Gyps himalayensis Hume, 1869",23,23,0,2019,2024
"Pavo cristatus","Pavo cristatus Linnaeus, 1758",23,23,0,2020,2020
"Anthus spinoletta","Anthus spinoletta (Linnaeus, 1758)",22,22,0,2018,2023
"Pycnonotus cafer",NA,22,0,22,2018,2025
"Pyrrhocorax graculus",NA,22,0,22,2013,2025
"Cinclus pallasii",NA,21,0,21,2011,2025
"Enicurus maculatus","Enicurus maculatus Vigors, 1831",21,21,0,2019,2025
"Phylloscopus magnirostris","Phylloscopus magnirostris Blyth, 1843",21,21,0,2020,2024
"Saxicola maurus",NA,21,0,21,2012,2024
"Terpsiphone paradisi",NA,21,0,21,2018,2024
"Accipiter nisus",NA,20,0,20,2019,2025
"Prinia crinigera","Prinia crinigera Hodgson, 1836",20,20,0,2019,2024
"Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax (Linnaeus, 1758)",20,20,0,2018,2024
"Serinus pusillus",NA,20,0,20,2013,2025
"Streptopelia orientalis",NA,20,0,20,2006,2025
"Turdoides striata","Argya striata (Dumont, 1823)",20,20,0,2020,2024
"Chloris spinoides",NA,19,0,19,2017,2025
"Halcyon smyrnensis",NA,19,0,19,1981,2025
"Sturnus vulgaris",NA,19,0,19,2015,2025
"Aegithalos niveogularis","Aegithalos niveogularis (Gould, 1855)",18,18,0,2022,2025
"Garrulus lanceolatus","Garrulus lanceolatus Vigors, 1831",18,18,0,2019,2024
"Hieraaetus pennatus","Hieraaetus pennatus (Gmelin, 1788)",18,18,0,2019,2024
"Hypsipetes leucocephalus",NA,18,0,18,2010,2024
"Tichodroma muraria","Tichodroma muraria (Linnaeus, 1766)",18,18,0,2020,2024
"Falco subbuteo","Falco subbuteo Linnaeus, 1758",17,17,0,2019,2025
"Hirundo rustica",NA,17,0,17,2010,2024
"Orthotomus sutorius","Orthotomus sutorius (Pennant, 1769)",17,17,0,2020,2024
"Periparus ater",NA,17,0,17,2020,2025
"Phylloscopus griseolus","Phylloscopus griseolus Blyth, 1847",17,17,0,2021,2024
"Phylloscopus subviridis","Phylloscopus subviridis (W.E.Brooks, 1872)",17,17,0,2020,2024
"Picus squamatus",NA,17,0,17,2018,2025
"Prunella fulvescens","Prunella fulvescens (Severtzov, 1873)",17,17,0,2018,2025
"Pyrrhocorax pyrrhocorax",NA,17,0,17,2012,2025
"Tringa ochropus","Tringa ochropus Linnaeus, 1758",17,17,0,2020,2024
"Aquila chrysaetos","Aquila chrysaetos (Linnaeus, 1758)",16,16,0,2018,2024
"Enicurus scouleri","Enicurus scouleri Vigors, 1832",16,16,0,2019,2024
"Enicurus scouleri",NA,16,0,16,2016,2024
"Oriolus kundoo",NA,16,0,16,2019,2025
"Phylloscopus sindianus","Phylloscopus sindianus W.E.Brooks, 1880",16,16,0,2020,2025
"Saxicola ferreus",NA,16,0,16,2020,2025
"Trochalopteron variegatum",NA,16,0,16,2021,2024
"Turdus atrogularis","Turdus atrogularis Jarocki, 1819",16,16,0,2018,2024
"Ceryle rudis",NA,15,0,15,2005,2025
"Cuculus canorus","Cuculus canorus Linnaeus, 1758",15,15,0,2021,2024
"Monticola solitarius",NA,15,0,15,2019,2025
"Niltava sundara","Niltava sundara Hodgson, 1837",15,15,0,2019,2025
"Periparus rufonuchalis",NA,15,0,15,2017,2024
"Phylloscopus collybita","Phylloscopus collybita (Vieillot, 1817)",15,15,0,2019,2024
"Streptopelia decaocto","Streptopelia decaocto (Frivaldszky, 1838)",15,15,0,2018,2024
"Troglodytes troglodytes","Troglodytes troglodytes (Linnaeus, 1758)",15,15,0,2019,2024
"Certhia himalayana",NA,14,0,14,2020,2025
"Lophura leucomelanos","Lophura leucomelanos (Latham, 1790)",14,14,0,2022,2024
"Luscinia pectoralis","Calliope pectoralis Gould, 1837",14,14,0,2019,2024
"Phylloscopus sindianus",NA,14,0,14,2018,2025
"Prunella rubeculoides",NA,14,0,14,2012,2025
"Rhipidura albicollis","Rhipidura albicollis (Vieillot, 1818)",14,14,0,2019,2024
"Turdus unicolor",NA,14,0,14,2014,2024
"Zosterops palpebrosus",NA,14,0,14,2018,2025
"Alectoris chukar","Alectoris chukar (J.E.Gray, 1830)",13,13,0,2018,2022
"Coloeus monedula","Coloeus monedula (Linnaeus, 1758)",13,13,0,2020,2024
"Dendrocopos himalayensis",NA,13,0,13,2011,2025
"Eremophila alpestris","Eremophila alpestris (Linnaeus, 1758)",13,13,0,2019,2024
"Leucosticte nemoricola",NA,13,0,13,2016,2025
"Luscinia svecica",NA,13,0,13,2017,2025
"Psilopogon asiaticus","Psilopogon asiaticus (Latham, 1790)",13,13,0,2019,2024
"Pteruthius xanthochlorus","Pteruthius xanthochlorus J.E.Gray & G.R.Gray, 1847",13,13,0,2020,2024
"Pucrasia macrolopha","Pucrasia macrolopha (R.Lesson, 1829)",13,13,0,2019,2024
"Anas crecca","Anas crecca Linnaeus, 1758",12,12,0,2018,2023
"Anas platyrhynchos","Anas platyrhynchos Linnaeus, 1758",12,12,0,2018,2025
"Callacanthis burtoni","Callacanthis burtoni (Gould, 1838)",12,12,0,2021,2025
"Columba rupestris",NA,12,0,12,2011,2025
"Emberiza stewarti",NA,12,0,12,2020,2025
"Fulica atra","Fulica atra Linnaeus, 1758",12,12,0,2018,2023
"Gypaetus barbatus",NA,12,0,12,2013,2023
"Hirundo smithii","Hirundo smithii Leach & K.D.Koenig, 1818",12,12,0,2021,2024
"Ibidorhyncha struthersii",NA,12,0,12,2021,2025
"Phoenicurus erythrogastrus","Phoenicurus erythrogastrus (Guldenstadt, 1775)",12,12,0,2018,2025
"Phylloscopus griseolus",NA,12,0,12,2019,2025
"Phylloscopus xanthoschistos",NA,12,0,12,2018,2024
