"species","scientificName","priority_score","priority_level","total_records","n_grid_cells","rarity_score","range_score","trend_score"
"Petrochelidon fluvicola",NA,64,"High Priority",3,6,100,60,20
"Prunella collaris",NA,64,"High Priority",3,8,100,60,20
"Vanellus indicus",NA,64,"High Priority",3,9,100,60,20
"Aquila nipalensis",NA,64,"High Priority",2,7,100,60,20
"Catreus wallichii","Catreus wallichii (Hardwicke, 1827)",64,"High Priority",2,6,100,60,20
"Certhia hodgsoni",NA,64,"High Priority",2,6,100,60,20
"Garrulus lanceolatus",NA,64,"High Priority",2,10,100,60,20
"Lanius vittatus",NA,64,"High Priority",2,7,100,60,20
"Motacilla maderaspatensis",NA,64,"High Priority",2,7,100,60,20
"Phylloscopus tytleri",NA,64,"High Priority",2,6,100,60,20
"Psilopogon asiaticus",NA,64,"High Priority",2,8,100,60,20
"Ptyonoprogne rupestris",NA,64,"High Priority",2,7,100,60,20
"Tachybaptus ruficollis","Tachybaptus ruficollis (Pallas, 1764)",64,"High Priority",2,8,100,60,20
"Tachymarptis melba",NA,64,"High Priority",2,10,100,60,20
"Tyto javanica","Tyto javanica (J.F.Gmelin, 1788)",64,"High Priority",2,6,100,60,20
"Anas acuta",NA,64,"High Priority",1,7,100,60,20
"Falco peregrinus","Falco peregrinus babylonicus P.L.Sclater, 1861",64,"High Priority",1,10,100,60,20
"Falco peregrinus","Falco peregrinus peregrinator Sundevall, 1837",64,"High Priority",1,10,100,60,20
"Phylloscopus subviridis",NA,64,"High Priority",1,9,100,60,20
"Rhipidura albicollis",NA,64,"High Priority",1,6,100,60,20
"Chlidonias hybrida",NA,62,"High Priority",10,4,80,80,20
"Corvus frugilegus","Corvus frugilegus Linnaeus, 1758",62,"High Priority",10,5,80,80,20
"Picumnus innominatus","Picumnus innominatus Burton, 1836",62,"High Priority",10,5,80,80,20
"Seicercus whistleri","Phylloscopus whistleri (Ticehurst, 1925)",62,"High Priority",10,4,80,80,20
"Sitta cinnamoventris","Sitta cinnamoventris Blyth, 1842",62,"High Priority",10,5,80,80,20
"Leiothrix lutea","Leiothrix lutea (Scopoli, 1786)",62,"High Priority",9,5,80,80,20
"Oenanthe picata","Oenanthe picata (Blyth, 1847)",62,"High Priority",8,6,80,60,40
"Psittacula eupatria",NA,62,"High Priority",8,3,80,80,20
"Rallus aquaticus",NA,62,"High Priority",8,4,80,80,20
"Cuculus saturatus","Cuculus saturatus Blyth, 1843",62,"High Priority",7,4,80,80,20
"Curruca curruca",NA,62,"High Priority",7,7,80,60,40
"Elanus caeruleus","Elanus caeruleus (Desfontaines, 1789)",62,"High Priority",7,5,80,80,20
"Emberiza citrinella",NA,62,"High Priority",7,4,80,80,20
"Emberiza fucata","Emberiza fucata Pallas, 1776",62,"High Priority",7,5,80,80,20
"Garrulus glandarius","Garrulus glandarius (Linnaeus, 1758)",62,"High Priority",7,4,80,80,20
"Monticola cinclorhyncha",NA,62,"High Priority",7,5,80,80,20
"Acrocephalus dumetorum","Acrocephalus dumetorum Blyth, 1849",62,"High Priority",6,5,80,80,20
"Aythya ferina","Aythya ferina (Linnaeus, 1758)",62,"High Priority",6,7,80,60,40
"Aythya fuligula","Aythya fuligula (Linnaeus, 1758)",62,"High Priority",6,6,80,60,40
"Cephalopyrus flammiceps","Cephalopyrus flammiceps (Burton, 1836)",62,"High Priority",6,4,80,80,20
"Zapornia fusca",NA,62,"High Priority",6,3,80,80,20
"Turdoides striata","Argya striata (Dumont, 1823)",60,"High Priority",20,2,60,100,20
"Aegithalos niveogularis","Aegithalos niveogularis (Gould, 1855)",60,"High Priority",18,2,60,100,20
"Prunella rubeculoides",NA,60,"High Priority",14,8,60,60,60
