"grid_lon","grid_lat","species_richness","total_observations","priority_species_richness","n_survey_dates","corrected_richness","priority_spp_norm","corrected_rich_norm","total_rich_norm","area_priority_score","area_priority_level"
72,34.1,12,19,3,5,6.69732751861497,4.76190476190476,9.94292745025068,7.40740740740741,6.84531209750907,"Low Priority"
72,34.2,1,1,0,1,1.44269504088896,0,2.14184121719075,0.617283950617284,0.766009155280682,"Low Priority"
72,34.6,5,8,0,2,4.55119613313419,0,6.75675675675676,3.08641975308642,2.64431097764431,"Low Priority"
72,36.8,1,1,0,1,1.44269504088896,0,2.14184121719075,0.617283950617284,0.766009155280682,"Low Priority"
72.1,34.1,12,30,2,7,5.77078016355585,3.17460317460317,8.56736486876301,7.40740740740741,5.63899252941197,"Low Priority"
72.1,34.2,20,64,4,6,10.277966847395,6.34920634920635,15.2587847041508,12.3456790123457,10.2213743883176,"Low Priority"
72.1,34.3,10,13,1,2,9.10239226626837,1.58730158730159,13.5135135135135,6.17283950617284,6.08227274893942,"Low Priority"
72.1,34.4,7,10,0,2,6.37167458638786,0,9.45945945945946,4.32098765432099,3.70203536870204,"Low Priority"
72.1,34.5,5,5,1,1,7.21347520444482,1.58730158730159,10.7092060859538,3.08641975308642,4.62369657005421,"Low Priority"
72.1,34.6,4,4,1,2,3.64095690650735,1.58730158730159,5.40540540540541,2.46913580246914,2.90909957576624,"Low Priority"
72.1,34.7,29,54,7,7,13.9460520619266,11.1111111111111,20.7044650995106,17.9012345679012,15.347141998989,"Low Priority"
72.1,36,10,10,1,1,14.4269504088896,1.58730158730159,21.4184121719075,6.17283950617284,8.45374234645762,"Low Priority"
72.1,36.5,19,19,2,1,27.4112057768903,3.17460317460317,40.6949831266243,11.7283950617284,16.1414755376346,"Low Priority"
72.1,36.9,4,5,1,3,2.88539008177793,1.58730158730159,4.2836824343815,2.46913580246914,2.57258268445907,"Low Priority"
72.2,34.1,10,10,6,4,6.21334934559612,9.52380952380952,9.2244080335944,6.17283950617284,8.76379507321765,"Low Priority"
72.2,34.6,17,22,1,3,12.2629078475562,1.58730158730159,18.2056503461214,10.4938271604938,8.35411132958598,"Low Priority"
72.2,34.7,7,11,0,3,5.04943264311137,0,7.49644426016763,4.32098765432099,3.11313080891449,"Low Priority"
72.2,35.1,30,68,0,4,18.6400480367884,0,27.6732241007832,18.5185185185185,12.0056709339387,"Low Priority"
72.2,35.5,6,6,0,1,8.65617024533378,0,12.8510473031445,3.7037037037037,4.59605493168409,"Low Priority"
72.2,36.9,2,3,0,1,2.88539008177793,0,4.2836824343815,1.23456790123457,1.53201831056136,"Low Priority"
72.2,37,2,2,2,1,2.88539008177793,3.17460317460317,4.2836824343815,1.23456790123457,3.11931989786295,"Low Priority"
72.3,34.1,10,14,3,3,7.21347520444482,4.76190476190476,10.7092060859538,6.17283950617284,6.82828210797308,"Low Priority"
72.3,34.6,29,36,2,3,20.91907809289,3.17460317460317,31.0566976492659,17.9012345679012,14.4845577956616,"Low Priority"
72.3,34.7,69,494,9,40,18.580493056443,14.2857142857143,27.5848081098929,42.5925925925926,23.9368180943435,"Low Priority"
72.3,34.8,74,2279,18,267,13.2355879664807,28.5714285714286,19.6497021455723,45.679012345679,29.3164273985218,"Low Priority"
72.3,34.9,4,4,0,1,5.77078016355585,0,8.56736486876301,2.46913580246914,3.06403662112273,"Low Priority"
72.3,35,14,14,0,1,20.1977305724455,0,29.9857770406705,8.64197530864197,10.7241281739296,"Low Priority"
72.3,35.6,14,14,1,2,12.7433491727757,1.58730158730159,18.9189189189189,8.64197530864197,8.19772153105486,"Low Priority"
72.3,36.3,37,67,8,12,14.4252360742974,12.6984126984127,21.4158670515697,22.8395061728395,17.3418676992452,"Low Priority"
72.3,37,14,24,5,5,7.81354877171746,7.93650793650794,11.6000820252925,8.64197530864197,9.1766736375701,"Low Priority"
72.4,34.2,2,4,0,2,1.82047845325367,0,2.7027027027027,1.23456790123457,1.05772439105772,"Low Priority"
72.4,34.5,8,9,0,3,5.77078016355585,0,8.56736486876301,4.93827160493827,3.55786378161656,"Low Priority"
72.4,34.6,15,15,2,1,21.6404256133345,3.17460317460317,32.1276182578613,9.25925925925926,13.0774389165118,"Low Priority"
