"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year","rarity_score","n_grid_cells","lat_range","lon_range","range_score","trend","trend_score","priority_score","priority_level"
"Gyps fulvus","Gyps fulvus (Hablizl, 1783)",2,2,0,2022,2024,100,2,0.288978999999998,0.194149999999993,100,2,40,82,"Critical Priority"
"Hierococcyx varius",NA,2,0,2,2018,2021,100,2,0.1867352923,1.7256903648,100,0,40,82,"Critical Priority"
"Hirundapus caudacutus","Hirundapus caudacutus (Latham, 1801)",2,2,0,2022,2024,100,1,0.0212670000000017,0.01527999999999,100,2,40,82,"Critical Priority"
"Hydrophasianus chirurgus",NA,2,0,2,2020,2023,100,2,0.0384828253000009,1.30683745269999,100,2,40,82,"Critical Priority"
"Lanius tephronotus",NA,2,0,2,2023,2023,100,2,0.1358445682,0.540744904500002,100,2,40,82,"Critical Priority"
"Loxia curvirostra","Loxia curvirostra Linnaeus, 1758",2,2,0,2024,2024,100,2,0.587127000000002,0.0613500000000045,100,2,40,82,"Critical Priority"
"Merops philippinus","Merops philippinus Linnaeus, 1767",2,2,0,2020,2022,100,2,0.0474280000000036,0.701705999999987,100,2,40,82,"Critical Priority"
"Monticola saxatilis","Monticola saxatilis (Linnaeus, 1766)",2,2,0,2020,2023,100,2,1.35036330000001,0.933424700000003,100,1,40,82,"Critical Priority"
"Oenanthe albonigra","Oenanthe albonigra (Hume, 1872)",2,2,0,2023,2023,100,2,0.386398,0.197626,100,2,40,82,"Critical Priority"
"Perdix hodgsoniae",NA,2,0,2,2019,2021,100,1,0.0031836079999934,0.00489775890000033,100,0,40,82,"Critical Priority"
"Pluvialis fulva",NA,2,0,2,2021,2022,100,1,0,0,100,2,40,82,"Critical Priority"
"Prinia inornata","Prinia inornata Sykes, 1832",2,2,0,2019,2023,100,2,0.0864570000000029,0.262360000000001,100,0,40,82,"Critical Priority"
"Prinia socialis","Prinia socialis Sykes, 1832",2,2,0,2024,2024,100,2,0.0688859999999991,0.038406000000009,100,2,40,82,"Critical Priority"
"Pteruthius aeralatus","Pteruthius aeralatus Blyth, 1855",2,2,0,2022,2023,100,2,0.0343519999999984,0.194699999999997,100,2,40,82,"Critical Priority"
"Recurvirostra avosetta",NA,2,0,2,2021,2021,100,1,0.00167435270000027,0.0014258950999988,100,2,40,82,"Critical Priority"
"Riparia chinensis","Riparia chinensis (J.E.Gray, 1830)",2,2,0,2021,2022,100,2,0.696866,0.402340000000009,100,2,40,82,"Critical Priority"
"Rostratula benghalensis",NA,2,0,2,2021,2022,100,1,0.000185561300000359,0.011027749100009,100,2,40,82,"Critical Priority"
"Tringa erythropus",NA,2,0,2,2021,2021,100,1,9.79996000012306e-05,0.000208206500005303,100,2,40,82,"Critical Priority"
"Urocissa erythroryncha",NA,2,0,2,2023,2025,100,2,0.0379852999999954,0.0489091999999971,100,2,40,82,"Critical Priority"
"Xenus cinereus","Xenus cinereus (Güldenstädt, 1775)",2,2,0,2023,2023,100,2,0.269826299999998,0.881987999999993,100,3,40,82,"Critical Priority"
"Acrocephalus arundinaceus",NA,1,0,1,2025,2025,100,1,0,0,100,1,40,82,"Critical Priority"
"Aegypius monachus",NA,1,0,1,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Amaurornis akool","Zapornia akool (Sykes, 1832)",1,1,0,2022,2022,100,1,0,0,100,1,40,82,"Critical Priority"
"Anarhynchus atrifrons",NA,1,0,1,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Anser indicus","Anser indicus (Latham, 1790)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Anthus hodgsoni",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Apus leuconyx","Apus leuconyx (Blyth, 1845)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Astur gentilis",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Aythya nyroca","Aythya nyroca (Güldenstädt, 1770)",1,1,0,2020,2020,100,2,0.5390115485,2.2550892535,100,2,40,82,"Critical Priority"
"Aythya nyroca",NA,1,0,1,2021,2021,100,2,0.5390115485,2.2550892535,100,2,40,82,"Critical Priority"
"Calandrella acutirostris",NA,1,0,1,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Calandrella brachydactyla","Calandrella brachydactyla (Leisler, 1814)",1,1,0,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Calidris ferruginea",NA,1,0,1,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Calidris minuta","Calidris minuta (Leisler, 1812)",1,1,0,2024,2024,100,2,2.069267795,0.17165614679999,100,4,40,82,"Critical Priority"
"Calidris pugnax",NA,1,0,1,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Carpodacus thura","Carpodacus thura Bonaparte & Schlegel, 1850",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Cecropis rufula",NA,1,0,1,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Centropus sinensis","Centropus sinensis (Stephens, 1815)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Cettia brunnifrons","Cettia brunnifrons (Hodgson, 1845)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Cettia cetti","Cettia cetti (Temminck, 1820)",1,1,0,2022,2022,100,1,0,0,100,1,40,82,"Critical Priority"
