"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Emberiza citrinella","Emberiza citrinella Linnaeus, 1758",1,1,0,2025,2025
"Emberiza hortulana","Emberiza hortulana Linnaeus, 1758",1,1,0,2023,2023
"Emberiza melanocephala",NA,1,0,1,2023,2023
"Emberiza striolata","Emberiza striolata (M.H.K.Lichtenstein, 1823)",1,1,0,2021,2021
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",1,1,0,2020,2020
"Euodice malabarica","Euodice malabarica (Linnaeus, 1758)",1,1,0,2023,2023
"Falco cherrug",NA,1,0,1,2024,2024
"Falco chicquera","Falco chicquera Daudin, 1800",1,1,0,2021,2021
"Falco peregrinus","Falco peregrinus babylonicus P.L.Sclater, 1861",1,1,0,2024,2024
"Falco peregrinus","Falco peregrinus peregrinator Sundevall, 1837",1,1,0,2024,2024
"Ficedula albicilla",NA,1,0,1,2020,2020
"Ficedula parva",NA,1,0,1,2025,2025
"Galerida cristata","Galerida cristata (Linnaeus, 1758)",1,1,0,2024,2024
"Galerida cristata",NA,1,0,1,2016,2016
"Gallinago solitaria","Gallinago solitaria Hodgson, 1831",1,1,0,2022,2022
"Gallinago solitaria",NA,1,0,1,2021,2021
"Gallus gallus",NA,1,0,1,2024,2024
"Garrulax albogularis","Pterorhinus albogularis (Gould, 1836)",1,1,0,2024,2024
"Geopelia cuneata",NA,1,0,1,2018,2018
"Gracupica contra",NA,1,0,1,2025,2025
"Grus monacha","Grus monacha Temminck, 1835",1,1,0,2020,2020
"Grus nigricollis",NA,1,0,1,2024,2024
"Gymnoris xanthocollis",NA,1,0,1,2018,2018
"Haliaeetus albicilla",NA,1,0,1,2024,2024
"Heterophasia capistrata",NA,1,0,1,2024,2024
"Ichthyaetus ichthyaetus",NA,1,0,1,2024,2024
"Iduna caligata","Iduna caligata (Lichtenstein, 1823)",1,1,0,2024,2024
"Iduna rama","Iduna rama (Sykes, 1832)",1,1,0,2022,2022
"Lanius collurio","Lanius collurio Linnaeus, 1758",1,1,0,2020,2020
"Lanius cristatus",NA,1,0,1,2020,2020
"Lanius isabellinus",NA,1,0,1,2023,2023
"Lanius minor","Lanius minor Gmelin, 1788",1,1,0,2021,2021
"Lanius phoenicuroides",NA,1,0,1,2024,2024
"Lerwa lerwa","Lerwa lerwa (Hodgson, 1833)",1,1,0,2021,2021
"Lerwa lerwa",NA,1,0,1,2021,2021
"Limosa limosa",NA,1,0,1,2021,2021
"Linaria flavirostris",NA,1,0,1,2016,2016
"Lophura leucomelanos","Lophura leucomelanos hamiltonii (J.E.Gray, 1829)",1,1,0,2021,2021
"Mergus merganser",NA,1,0,1,2017,2017
"Merops orientalis","Merops orientalis Latham, 1801",1,1,0,2024,2024
"Microcarbo niger","Microcarbo niger (Vieillot, 1817)",1,1,0,2019,2019
"Microcarbo niger",NA,1,0,1,2025,2025
"Monticola rufiventris",NA,1,0,1,2025,2025
"Monticola saxatilis",NA,1,0,1,2017,2017
"Montifringilla adamsi","Montifringilla adamsi Adams, 1859",1,1,0,2021,2021
"Motacilla citreola","Motacilla citreola calcarata Hodgson, 1836",1,1,0,2022,2022
"Motacilla flava",NA,1,0,1,2025,2025
"Muscicapa striata","Muscicapa striata (Pallas, 1764)",1,1,0,2023,2023
"Mycerobas affinis",NA,1,0,1,2022,2022
"Mycerobas carnipes","Mycerobas carnipes (Hodgson, 1836)",1,1,0,2024,2024
"Oenanthe isabellina","Oenanthe isabellina (Temminck, 1829)",1,1,0,2022,2022
"Oenanthe pleschanka","Oenanthe pleschanka (Lepechin, 1770)",1,1,0,2023,2023
"Otus bakkamoena","Otus bakkamoena Pennant, 1769",1,1,0,2024,2024
"Otus lettia","Otus lettia (Hodgson, 1836)",1,1,0,2020,2020
"Otus scops","Otus scops (Linnaeus, 1758)",1,1,0,2024,2024
"Parus cinereus","Parus cinereus caschmirensis Hartert, 1905",1,1,0,2019,2019
"Parus major","Parus major Linnaeus, 1758",1,1,0,2018,2018
"Passer hispaniolensis",NA,1,0,1,2017,2017
"Passer montanus","Passer montanus dilutus Richmond, 1896",1,1,0,2022,2022
"Pastor roseus","Pastor roseus (Linnaeus, 1758)",1,1,0,2022,2022
"Pastor roseus",NA,1,0,1,2017,2017
"Pericrocotus cinnamomeus","Pericrocotus cinnamomeus (Linnaeus, 1766)",1,1,0,2024,2024
"Phoenicurus phoenicurus",NA,1,0,1,2024,2024
"Phylloscopus sindianus","Phylloscopus sindianus sindianus W.E.Brooks, 1880",1,1,0,2022,2022
"Phylloscopus subviridis",NA,1,0,1,2022,2022
"Phylloscopus whistleri",NA,1,0,1,2025,2025
"Picus chlorolophus","Picus chlorolophus Vieillot, 1818",1,1,0,2023,2023
"Picus xanthopygaeus",NA,1,0,1,2024,2024
"Prinia hodgsonii",NA,1,0,1,2023,2023
"Pseudopodoces humilis",NA,1,0,1,2023,2023
"Pteruthius xanthochlorus",NA,1,0,1,2024,2024
"Rallus aquaticus","Rallus aquaticus Linnaeus, 1758",1,1,0,2021,2021
"Rhipidura albicollis",NA,1,0,1,2018,2018
"Rhipidura aureola","Rhipidura aureola Lesson, 1831",1,1,0,2024,2024
"Rhodopechys sanguineus","Rhodopechys sanguineus sanguineus (Gould, 1838)",1,1,0,2022,2022
"Rhodopechys sanguineus",NA,1,0,1,2022,2022
"Scolopax rusticola",NA,1,0,1,2024,2024
"Spatula querquedula","Spatula querquedula (Linnaeus, 1758)",1,1,0,2023,2023
"Spatula querquedula",NA,1,0,1,2021,2021
"Spinus spinus",NA,1,0,1,2021,2021
"Stachyridopsis pyrrhops","Cyanoderma pyrrhops (Blyth, 1844)",1,1,0,2023,2023
"Sterna aurantia","Sterna aurantia J.E.Gray, 1831",1,1,0,2023,2023
"Sterna aurantia",NA,1,0,1,2024,2024
"Strix leptogrammica",NA,1,0,1,2024,2024
"Taccocua leschenaultii","Taccocua leschenaultii Lesson, 1830",1,1,0,2024,2024
"Tadorna tadorna",NA,1,0,1,2023,2023
"Taenioptynx brodiei",NA,1,0,1,2022,2022
"Tephrodornis pondicerianus","Tephrodornis pondicerianus (Gmelin, 1789)",1,1,0,2024,2024
"Tetraogallus tibetanus","Tetraogallus tibetanus Gould, 1854",1,1,0,2019,2019
"Tragopan melanocephalus",NA,1,0,1,2025,2025
"Tringa glareola",NA,1,0,1,2014,2014
"Tringa nebularia","Tringa nebularia (Gunnerus, 1767)",1,1,0,2023,2023
"Tringa totanus",NA,1,0,1,2021,2021
"Trochalopteron erythrocephalum","Trochalopteron erythrocephalum (Vigors, 1832)",1,1,0,2022,2022
"Turdus maximus",NA,1,0,1,2016,2016
"Turdus philomelos",NA,1,0,1,2020,2020
"Turdus ruficollis","Turdus ruficollis Pallas, 1776",1,1,0,2021,2021
"Vanellus vanellus",NA,1,0,1,2017,2017
"Xenus cinereus",NA,1,0,1,2023,2023
"Yungipicus canicapillus","Yungipicus canicapillus (Blyth, 1845)",1,1,0,2024,2024
NA,NA,1,0,1,2020,2020
"Acrocephalus agricola","Acrocephalus agricola (Jerdon, 1845)",2,2,0,2022,2023
"Amaurornis phoenicurus","Amaurornis phoenicurus (Pennant, 1769)",2,2,0,2022,2022
"Anarhynchus alexandrinus",NA,2,0,2,2023,2023
"Anthropoides virgo","Anthropoides virgo (Linnaeus, 1758)",2,2,0,2022,2024
"Anthus campestris","Anthus campestris (Linnaeus, 1758)",2,2,0,2021,2021
"Anthus cervinus","Anthus cervinus (Pallas, 1811)",2,2,0,2021,2021
"Anthus sylvanus","Anthus sylvanus (Hodgson, 1845)",2,2,0,2020,2022
"Apus apus",NA,2,0,2,2023,2025
"Aquila nipalensis",NA,2,0,2,2024,2024
"Asio otus",NA,2,0,2,2022,2024
"Butastur teesa","Butastur teesa (Franklin, 1831)",2,2,0,2021,2024
"Buteo hemilasius",NA,2,0,2,2017,2023
"Cacomantis passerinus","Cacomantis passerinus (Vahl, 1797)",2,2,0,2022,2022
"Calidris temminckii","Calidris temminckii (Leisler, 1812)",2,2,0,2023,2023
"Calidris temminckii",NA,2,0,2,2021,2023
"Carpodacus puniceus","Carpodacus puniceus (Blyth, 1845)",2,2,0,2023,2023
"Carpodacus rubicilloides",NA,2,0,2,2011,2019
"Catreus wallichii","Catreus wallichii (Hardwicke, 1827)",2,2,0,2022,2022
"Cecropis daurica","Cecropis daurica (Laxmann, 1769)",2,2,0,2024,2024
"Cecropis daurica",NA,2,0,2,2021,2023
"Cephalopyrus flammiceps",NA,2,0,2,2024,2024
"Certhia hodgsoni",NA,2,0,2,2017,2024
"Chroicocephalus brunnicephalus","Chroicocephalus brunnicephalus (Jerdon, 1840)",2,2,0,2020,2023
"Chroicocephalus brunnicephalus",NA,2,0,2,2020,2024
"Chroicocephalus ridibundus","Chroicocephalus ridibundus (Linnaeus, 1766)",2,2,0,2023,2023
"Chroicocephalus ridibundus",NA,2,0,2,2018,2025
"Circus aeruginosus",NA,2,0,2,2020,2021
"Circus cyaneus",NA,2,0,2,2020,2022
"Columba palumbus","Columba palumbus Linnaeus, 1758",2,2,0,2020,2023
"Cuculus poliocephalus","Cuculus poliocephalus Latham, 1790",2,2,0,2023,2023
"Cyanistes cyanus",NA,2,0,2,2014,2025
"Cyornis rubeculoides","Cyornis rubeculoides (Vigors, 1831)",2,2,0,2020,2023
"Dendrocopos leucopterus",NA,2,0,2,2025,2025
"Dendrocopos macei","Dendrocopos macei (Vieillot, 1818)",2,2,0,2021,2023
"Emberiza buchanani","Emberiza buchanani Blyth, 1845",2,2,0,2021,2025
"Emberiza buchanani",NA,2,0,2,2021,2025
"Emberiza melanocephala","Emberiza melanocephala Scopoli, 1769",2,2,0,2023,2023
"Emberiza pusilla","Emberiza pusilla Pallas, 1776",2,2,0,2020,2021
"Eudynamys scolopaceus",NA,2,0,2,2020,2020
"Ficedula parva","Ficedula parva (Bechstein, 1792)",2,2,0,2021,2025
"Fringilla coelebs",NA,2,0,2,2022,2025
"Garrulus lanceolatus",NA,2,0,2,2023,2024
"Gracupica contra","Gracupica contra (Linnaeus, 1758)",2,2,0,2023,2025
"Grus virgo",NA,2,0,2,2023,2023
"Gyps fulvus","Gyps fulvus (Hablizl, 1783)",2,2,0,2022,2024
"Hierococcyx varius",NA,2,0,2,2018,2021
"Hirundapus caudacutus","Hirundapus caudacutus (Latham, 1801)",2,2,0,2022,2024
"Hydrophasianus chirurgus",NA,2,0,2,2020,2023
"Lanius excubitor","Lanius excubitor Linnaeus, 1758",2,2,0,2022,2023
"Lanius tephronotus",NA,2,0,2,2023,2023
"Lanius vittatus",NA,2,0,2,2021,2022
"Linaria flavirostris","Linaria flavirostris (Linnaeus, 1758)",2,2,0,2021,2021
"Locustella major","Locustella major (W.E.Brooks, 1871)",2,2,0,2023,2024
"Lophura leucomelanos",NA,2,0,2,2021,2024
"Loxia curvirostra","Loxia curvirostra Linnaeus, 1758",2,2,0,2024,2024
"Megaceryle lugubris",NA,2,0,2,2024,2024
"Merops apiaster","Merops apiaster Linnaeus, 1758",2,2,0,2021,2024
"Merops apiaster",NA,2,0,2,2024,2025
"Merops philippinus","Merops philippinus Linnaeus, 1767",2,2,0,2020,2022
"Monticola rufiventris","Monticola rufiventris (Jardine & Selby, 1833)",2,2,0,2021,2022
"Monticola saxatilis","Monticola saxatilis (Linnaeus, 1766)",2,2,0,2020,2023
"Motacilla maderaspatensis",NA,2,0,2,2023,2023
"Netta rufina",NA,2,0,2,2012,2021
"Oenanthe albonigra","Oenanthe albonigra (Hume, 1872)",2,2,0,2023,2023
"Oenanthe fusca",NA,2,0,2,2024,2024
"Oenanthe oenanthe",NA,2,0,2,2017,2023
"Perdix hodgsoniae",NA,2,0,2,2019,2021
"Periparus ater","Periparus ater melanolophus (Vigors, 1831)",2,2,0,2024,2025
"Petronia petronia",NA,2,0,2,2017,2017
"Phalaropus lobatus",NA,2,0,2,2017,2017
"Phylloscopus tytleri",NA,2,0,2,2022,2024
"Picumnus innominatus",NA,2,0,2,2019,2021
"Pluvialis fulva",NA,2,0,2,2021,2022
"Prinia inornata","Prinia inornata Sykes, 1832",2,2,0,2019,2023
"Prinia socialis","Prinia socialis Sykes, 1832",2,2,0,2024,2024
"Pseudopodoces humilis","Pseudopodoces humilis (Hume, 1871)",2,2,0,2022,2023
"Psilopogon asiaticus",NA,2,0,2,2017,2018
"Psittacula eupatria","Psittacula eupatria (Linnaeus, 1766)",2,2,0,2024,2024
"Pteruthius aeralatus","Pteruthius aeralatus Blyth, 1855",2,2,0,2022,2023
"Ptyonoprogne rupestris",NA,2,0,2,2024,2025
"Recurvirostra avosetta",NA,2,0,2,2021,2021
"Riparia chinensis","Riparia chinensis (J.E.Gray, 1830)",2,2,0,2021,2022
"Rostratula benghalensis",NA,2,0,2,2021,2022
"Spinus spinus","Spinus spinus (Linnaeus, 1758)",2,2,0,2021,2021
"Tachybaptus ruficollis","Tachybaptus ruficollis (Pallas, 1764)",2,2,0,2019,2023
"Tachymarptis melba",NA,2,0,2,2021,2024
"Tadorna ferruginea","Tadorna ferruginea (Pallas, 1764)",2,2,0,2022,2023
"Tadorna ferruginea",NA,2,0,2,2020,2021
